TR	MK
RMM	MK
SR	MK
FR	ML
BM	ML
MY	MM
MN	MN
RU	MN
ZH	MO
ZH	MO
PT	MO
FIL	MP
TL	MP
ZH	MP
CH	MP
EN	MP
FR	MQ
AR	MR
FUC	MR
SNK	MR
FR	MR
MEY	MR
WO	MR
EN	MS
MT	MT
EN	MT
EN	MU
BHO	MU
FR	MU
DV	MV
EN	MV
NY	MW
YAO	MW
TUM	MW
SWK	MW
ES	MX
MS	MY
EN	MY
ZH	MY
TA	MY
TE	MY
ML	MY
PA	MY
TH	MY
PT	MZ
VMW	MZ
EN	NA
AF	NA
DE	NA
HZ	NA
NAQ	NA
FR	NC
FR	NE
HA	NE
KR	NE
DJE	NE
EN	NF
EN	NG
HA	NG
YO	NG
IG	NG
FF	NG
ES	NI
EN	NI
NL	NL
FY	NL
NO	NO
NB	NO
NN	NO
SE	NO
FI	NO
NE	NP
EN	NP
NA	NR
EN	NR
NIU	NU
EN	NU
EN	NZ
MI	NZ
AR	OM
EN	OM
BAL	OM
UR	OM
ES	PA
EN	PA
ES	PE
QU	PE
AY	PE
FR	PF
TY	PF
EN	PG
HO	PG
MEU	PG
TPI	PG
TL	PH
EN	PH
FIL	PH
UR	PK
EN	PK
PA	PK
SD	PK
PS	PK
BRH	PK
PL	PL
FR	PM
EN	PN
EN	PR
ES	PR
AR	PS
PT	PT
MWL	PT
PAU	PW
SOV	PW
EN	PW
TOX	PW
JA	PW
FIL	PW
ZH	PW
ES	PY
GN	PY
AR	QA
ES	QA
FR	RE
RO	RO
HU	RO
ROM	RO
SR	RS
HU	RS
BS	RS
ROM	RS
RU	RU
TT	RU
XAL	RU
CAU	RU
ADY	RU
KV	RU
CE	RU
TYV	RU
CV	RU
UDM	RU
TUT	RU
MNS	RU
BUA	RU
MYV	RU
MDF	RU
CHM	RU
BA	RU
INH	RU
TUT	RU
KBD	RU
KRC	RU
AVA	RU
SAH	RU
NOG	RU
RW	RW
EN	RW
FR	RW
SW	RW
AR	SA
EN	SB
TPI	SB
EN	SC
FR	SC
AR	SD
EN	SD
FIA	SD
EN	SS
SV	SE
SE	SE
SMA	SE
FI	SE
CMN	SG
EN	SG
MS	SG
TA	SG
ZH	SG
EN	SH
SL	SI
SH	SI
NO	SJ
RU	SJ
SK	SK
HU	SK
EN	SL
MEN	SL
TEM	SL
IT	SM
FR	SN
WO	SN
FUC	SN
MNK	SN
SO	SO
AR	SO
IT	SO
EN	SO
NL	SR
EN	SR
SRN	SR
HNS	SR
JV	SR
PT	ST
ES	SV
NL	SX
EN	SX
AR	SY
KU	SY
HY	SY
ARC	SY
FR	SY
EN	SY
EN	SZ
SS	SZ
EN	TC
FR	TD
AR	TD
SRE	TD
FR	TF
FR	TG
EE	TG
HNA	TG
KBP	TG
DAG	TG
HA	TG
TH	TH
EN	TH
TG	TJ
RU	TJ
TKL	TK
EN	TK
TET	TL
PT	TL
ID	TL
EN	TL
TK	TM
RU	TM
UZ	TM
AR	TN
FR	TN
TO	TO
EN	TO
TR	TR
KU	TR
DIQ	TR
AZ	TR
AV	TR
EN	TT
HNS	TT
FR	TT
ES	TT
ZH	TT
TVL	TV
EN	TV
SM	TV
GIL	TV
ZH	TW
ZH	TW
NAN	TW
HAK	TW
SW	TZ
EN	TZ
AR	TZ
UK	UA
RU	UA
ROM	UA
PL	UA
HU	UA
EN	UG
LG	UG
SW	UG
AR	UG
EN	UM
EN	US
ES	US
HAW	US
FR	US
ES	UY
UZ	UZ
RU	UZ
TG	UZ
LA	VA
IT	VA
FR	VA
EN	VC
FR	VC
ES	VE
EN	VG
EN	VI
VI	VN
EN	VN
FR	VN
ZH	VN
KM	VN
BI	VU
EN	VU
FR	VU
WLS	WF
FUD	WF
FR	WF
SM	WS
EN	WS
AR	YE
FR	YT
ZU	ZA
XH	ZA
AF	ZA
NSO	ZA
EN	ZA
TN	ZA
ST	ZA
TS	ZA
SS	ZA
VE	ZA
NR	ZA
EN	ZM
BEM	ZM
LOZ	ZM
LUN	ZM
LUE	ZM
NY	ZM
TOI	ZM
EN	ZW
SN	ZW
NR	ZW
ND	ZW
CU	CS
HU	CS
SQ	CS
SR	CS
NL	AN
EN	AN
ES	AN
